RR,Ntm,Ftm,Cellsize,Na1,Nt1,Nt2,Fa1,Ft1,Ft2,NCR,NucI,NucRR,NucNtm,Activation,Donor,Gender
0.892648443,730.2219533,305.2481208,298.5,81.20765349,289.7931913,2689.543058,88.78018904,100.8218221,2005.299744,0.353741497,687.4377414,0.889831943,641.6080402,1,2,1
0.91187771,1207.498,287.4556833,114,76.23792586,294.8689634,4056.575127,87.82689767,100.5455926,1692.635795,0.76744186,1220.234451,0.874571779,925.7236842,1,2,1
0.942753187,601.9629642,412.6159973,73.5,83.89598802,295.4603823,2225.689992,84.11893294,184.3176295,1983.663303,0.441176471,637.8969447,0.941776169,735.1428571,1,2,1
0.880285485,739.2888416,292.2628026,232.5,83.19367944,301.1393844,2907.667387,90.15496173,108.5364692,2033.465843,0.24,685.1422135,0.878741871,637.3483871,1,2,1
0.937416347,462.9510111,198.0800716,478.5,85.22143597,263.0656825,1700.648525,92.16319008,78.03746958,2047.173901,1.2,415.2602275,0.938948136,512.7899687,1,2,1
0.942148303,1114.715182,537.6477439,1065,75.24815372,293.2228123,3421.137116,82.89126204,137.7311193,2530.917233,0.109375,1058.146311,0.942107765,905.4816901,1,2,1
0.935247817,648.4393015,334.9622412,894,81.95883185,274.1150962,2181.926734,90.04137536,119.8291231,2546.115445,0.856697819,521.2268767,0.939851493,554.0989933,1,2,1
0.932472537,606.9021793,349.0863438,156,83.79039682,280.9256009,2316.478926,86.35611499,144.8090962,1724.158515,0.11827957,594.4633945,0.931658686,513.625,1,2,1
0.943596798,1075.737168,606.785483,955.5,76.14446653,289.925681,3258.993857,81.52865946,153.1538093,2657.849634,0.015948963,1068.455998,0.943946065,959.0345369,1,2,1
0.903448261,688.6635907,387.8838145,978,84.23345159,284.4913384,2657.604172,87.00056503,133.0540484,2182.082169,0.055016181,675.0443183,0.90450112,772.7990798,1,2,1
0.893681692,849.5728138,409.433189,750,80.36382239,311.6126544,2805.315697,87.64603228,135.0353138,2398.173213,0.035196687,839.0393969,0.894134266,940.426,1,2,1
0.840729194,772.5141326,412.4398442,249,83.1679974,278.8639439,3099.784198,88.80352434,142.841992,2595.412386,0.070967742,750.8377246,0.842139076,604.7771084,1,2,1
0.908013732,915.9977216,448.7624863,1254,77.66232188,274.3269075,2768.37144,86.63763412,130.5059204,2587.478946,0.145205479,844.5821693,0.913875572,767.1411483,1,2,1
0.878819967,511.204511,262.7716871,79.5,87.42196676,269.8377228,2259.965566,92.36580898,91.08146864,2288.886279,0.472222222,520.1501851,0.869574083,449.1132075,1,2,1
0.93718033,491.4579017,348.9001497,309,85.31721003,278.8380058,1785.808535,88.64869588,132.0421875,2096.396825,0.211764706,498.8201693,0.92313662,528.1067961,1,2,1
0.83904636,994.9304617,250.1915591,471,78.02121201,272.9348573,3425.464888,91.73730381,77.28722595,2167.037789,0.180451128,916.070761,0.851581951,600.410828,1,2,1
0.889509873,668.6389864,371.4993157,534,83.45751935,267.2010732,2615.060031,89.64868824,117.0220739,2574.80349,0.174917492,632.0321449,0.895728283,592.7247191,1,2,1
0.898383569,759.5568486,260.3030616,408,82.3078722,287.5804613,2787.88298,91.95903826,82.34623117,2303.683525,0.110204082,720.5099247,0.900327575,675.4338235,1,2,1
0.957034965,1623.270151,670.3730793,270,65.48334333,266.072971,4447.414264,77.28859377,168.2169054,2556.159378,0.161290323,1605.283066,0.947413903,883.9333333,1,2,1
0.914734096,522.8558525,327.0548775,480,83.68803665,257.3403027,1801.469364,90.41828379,115.9259068,2392.4309,0.099656357,510.0639157,0.916927909,653.5125,1,2,1
0.940487186,472.4198281,292.6992839,180,86.27302701,283.5068836,1698.012414,86.42130451,111.7643532,1923.0524,0.071428571,467.430969,0.940266388,878.575,1,2,1
0.935947937,423.9228327,279.8543549,120,86.24540614,273.6598884,1448.980808,91.80963058,121.1155401,2161.908333,0.26984127,411.6196423,0.937478191,591.325,1,2,1
0.917218694,422.9922095,191.8695524,96,85.04813371,263.3502395,1401.155667,88.75745233,69.88273621,1509.634784,0.185185185,423.5824304,0.91887214,514.59375,1,2,1
0.849978973,639.1247744,115.1816077,54,77.93380903,271.0024786,1967.606514,96.14658217,43.46254071,1892.354553,0.565217391,648.3450985,0.838988004,440.9444444,1,2,1
0.946975815,388.3630196,195.6085841,382.5,81.80967671,232.6136456,1137.994063,92.63464991,66.19120322,1916.500276,0.159090909,380.1301989,0.949168318,621.6901961,1,2,1
0.934483846,433.7872032,297.1534414,369,85.14744818,263.7090073,1472.959951,88.26382675,113.0168367,1946.41533,0.438596491,416.8835421,0.932053524,531.8414634,1,2,1
0.941497379,415.1538999,266.4105077,531,83.70705638,256.0609247,1276.429659,87.17482541,107.762406,1617.059398,0.063063063,414.3405663,0.942097406,661.279661,1,2,1
0.886328735,429.1890044,220.2958122,411,82.8290743,246.5861285,1426.742225,87.95283354,70.76149214,1484.973928,0.838926174,408.660133,0.902628813,507.8978102,1,2,1
0.913978866,418.8144703,243.9668403,261,84.21550142,235.9492695,1427.701283,88.07903841,92.18078752,1709.318958,0.067484663,417.8093732,0.914644956,636.9655172,1,2,1
0.729763499,588.1259264,281.2617405,91.5,84.79912131,316.8198569,2248.937151,90.18952124,72.69733592,2182.745693,3.357142857,543.8256762,0.722423005,366.5081967,1,2,1
0.901717307,601.8849692,240.472634,205.5,79.10874022,249.2951571,1945.130739,92.40895661,96.06415224,2126.045103,0.062015504,591.2411296,0.902292144,523.540146,1,2,1
0.911584467,614.7763933,287.9759632,1138.5,83.46740679,291.3964427,2274.961009,90.98300659,95.63246581,2240.146533,0.049792531,604.8104587,0.912029715,613.1594203,1,2,1
0.930427485,678.851409,399.8872031,936,82.2429777,283.304832,2451.854872,84.76394813,134.6552252,2085.071688,0.193116635,635.2400074,0.931680874,606.9727564,1,2,1
0.910999167,478.4394719,257.4134597,321,84.58026189,276.6143761,1665.027113,93.23414114,102.9580897,2389.171573,0.086294416,475.2821216,0.912208296,517.4299065,1,2,1
0.872563891,867.1070066,258.9471957,1339.5,79.45985397,269.9959324,3020.324061,90.82394651,74.54286705,2096.755403,0.039580908,846.4036021,0.8742015,755.5195969,1,2,1
0.930542436,498.5435535,136.7630971,129,81.11429565,256.6003198,1563.959194,91.61416626,52.53188324,1093.634328,2.44,417.5304074,0.916142221,437.8255814,1,2,1
0.912654356,606.6706217,79.1933136,55.5,84.08338013,294.2686635,2421.453353,98.00800323,38.7397995,2069.570068,1.466666667,561.0484371,0.89722944,414.5675676,1,2,1
0.860067902,1615.843949,242.9260516,111,66.47475808,327.1652654,4123.52817,91.498703,56.70820325,2304.291665,0.233333333,1648.182354,0.852671621,1397.851351,1,2,1
0.920359203,471.1526,187.7650831,268.5,85.66201815,285.7751066,1658.95291,94.86101367,75.39204057,2346.461001,0.924731183,442.5366552,0.925446275,481.1452514,1,2,1
0.941859892,467.2430393,175.043323,66,85.70148805,264.4375004,1732.782945,95.83121436,70.5831495,2602.539969,0.294117647,472.1616356,0.936846458,650.0681818,1,2,1
0.953134335,737.9244256,106.0593567,120,79.85500174,331.7396146,2436.393848,98.08350372,52.76300049,2833.610107,0.538461538,720.2888339,0.92995301,595.3,1,2,1
0.901372367,482.92556,269.7685801,115.5,85.01929553,282.4867067,1668.50103,91.61371358,86.45632362,2242.49476,0.604166667,477.9053829,0.882255364,678.1298701,1,2,1
0.846823621,490.6621946,332.119279,261,82.97453331,262.8241762,1667.710715,89.67688709,90.75755357,2469.91769,0.06097561,485.4253496,0.84850782,768.3045977,1,2,1
0.870571749,465.5306998,345.0058467,237,83.36452838,261.3002097,1562.112288,87.5123213,117.5064019,2036.566587,0.144927536,459.6491987,0.874003577,556.056962,1,2,1
0.895894203,467.9590891,245.3903065,405,84.91359689,273.5490339,1650.622904,89.99835422,85.95290904,1880.610376,0.279620853,444.9616987,0.887780193,655.9,1,2,1
0.866243342,576.1030579,234.0141224,154.5,84.92415812,276.2150739,2261.484424,92.07134729,83.22396947,1994.063369,0.084210526,563.1457617,0.861087176,542.1941748,1,2,1
0.88138344,572.7471397,238.3454373,319.5,83.05839868,286.3776957,2065.919621,91.56152868,93.08554131,2047.842844,0.613636364,563.8529793,0.85892211,398.7605634,1,2,1
0.895965773,398.0099781,259.6816965,474,83.95401068,250.8030773,1266.36974,91.31549742,88.78442972,2097.339551,0.104895105,392.129234,0.895566959,707.6424051,1,2,1
0.921951384,500.2752689,193.9877968,463.5,84.15600057,276.0014941,1746.26548,95.17745055,76.18548682,2582.755891,0.314893617,484.505876,0.917220199,560.0647249,1,2,1
0.891851256,479.7474433,103.9700851,40.5,87.43243874,314.0428865,1810.312822,97.93393877,50.24838331,2675.512234,0.5,483.9038142,0.892048582,365.1481481,1,2,1
0.894878685,359.5617371,123.275528,13.5,84.23500061,205.1329956,1184.699951,96.69869995,43.15520096,2470.110107,8,450.0525716,0.900006652,301.3333333,1,2,1
0.890344946,590.9306283,162.5510933,138,84.43711505,305.7664202,2229.165925,95.85938504,80.40805532,2125.679354,0.135802469,600.2508747,0.890558998,451.4021739,1,2,1
0.889722085,421.7165174,279.6987027,150,84.80848763,258.3637612,1388.095537,92.70983271,110.3037686,2428.048519,0.136363636,419.6685556,0.887855145,477.88,1,2,1
0.893553418,618.2635295,219.2489628,454.5,83.54794783,300.0122532,2274.915682,93.75429746,90.54750316,2124.958866,0.082142857,606.4526841,0.892627417,602.8811881,1,2,1
0.912774863,540.8549674,195.9647037,1402.5,83.14936858,276.1459179,1904.447229,93.80835905,79.48461948,2083.027566,0.510500808,488.5763368,0.915709147,537.828877,1,2,1
0.858269207,533.725806,190.4885675,208.5,83.82596927,292.6806287,1877.488222,93.64500157,72.7099542,1976.535473,0.120967742,528.6800647,0.854045133,553.5971223,1,2,1
0.948609965,454.6894762,68.76709716,423,84.11510942,269.9404182,1500.771847,98.41319275,39.84083287,2167.016907,0.43877551,440.72099,0.943249097,479.2659574,1,2,1
0.93156718,415.5436295,247.938023,433.5,84.30217585,248.824785,1361.09175,93.16297791,100.9873856,2257.335776,0.032142857,413.416121,0.931325644,610.5916955,1,2,1
0.923491476,417.355536,321.5747323,361.5,84.5903274,249.6259717,1429.896928,87.79760104,117.4919174,1806.430821,0.353932584,399.8957264,0.931550298,531.6099585,1,2,1
0.905914951,489.1781717,282.4024538,270,84.61783353,271.9656345,1838.750992,90.24834772,94.73136183,2016.412453,0.118012422,487.34374,0.901489004,574.4,1,2,1
0.892988684,521.820295,291.1695304,868.5,84.54821937,277.7480848,1900.566836,90.35976504,105.0904759,2095.10427,0.327981651,499.7868364,0.883028574,611.2055268,1,2,1
0.909608418,578.3022749,275.8852639,384,84.32384005,292.2460615,2246.587823,91.43275246,113.8697801,2115.387343,0.430167598,536.0608081,0.898762664,423.78125,1,2,1
0.873188766,539.5123066,266.8883927,678,84.21677722,280.8642551,1946.384233,91.00793931,100.5420872,1876.206498,0.020316027,536.94966,0.874478854,671.420354,1,2,1
0.899515098,535.7914995,84.2093884,363,80.4884345,265.6410819,1703.635848,97.91585479,38.49130062,2280.418104,0.308108108,508.9376119,0.889416017,557.5495868,1,2,1
