NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,271.6206188,2084.966851,66.71836022,310.957116,2257.719392,72.02537569,0.917775617,880.2671201,836.4279428,181,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,293.2140817,2228.717317,59.87255244,248.2493411,2037.300122,74.31833293,0.940402916,1069.025671,692.9257482,82,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,265.9456828,2099.213804,59.91785153,176.8874274,1928.27411,71.19134356,0.944250674,1002.548366,675.4503204,163,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,282.1599084,2324.124036,60.1435247,200.564616,2003.956867,69.16013675,0.943299623,1094.209907,738.0089304,166,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,298.6078242,2266.126443,61.49149128,218.8178503,1969.159866,70.65604966,0.933934828,1059.061584,720.9528981,149,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,303.4634638,2177.985033,69.63335197,211.7897908,2034.735,70.17554441,0.946746207,880.0615033,741.792123,304,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,275.1671276,2194.902658,60.79079302,238.238492,2118.946744,71.82209136,0.932998949,1026.876097,756.0269113,301,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,291.4075751,2385.15824,62.95879957,152.1684088,1936.182704,71.58325708,0.938417069,1065.935546,653.5814775,233,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,280.7749551,2115.798483,68.04065169,232.5840612,1893.909888,70.19295562,0.921662775,866.0594057,711.4105549,178,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,284.1416249,2239.698914,60.84989774,177.1014401,1950.123959,69.7344009,0.946003417,1052.4693,697.1278454,221,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,287.594163,2251.58105,67.0361235,196.734647,2064.7306,68.5927575,0.944352897,934.7663603,774.2599884,400,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,313.99776,2191.836,69.107724,201.4354,1911.9608,71.041612,0.930584442,892.0309303,695.0743609,25,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,287.3427303,2378.110198,60.85023343,192.239272,1898.859521,69.90939745,0.923537481,1100.594749,697.0896733,353,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,281.5561106,2193.899915,63.94927277,218.3286651,2012.595191,70.20597872,0.929574156,973.5029399,744.4582379,235,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,279.7119769,2226.827399,67.35723603,195.5349534,1961.493507,71.46325453,0.958603083,916.4003122,688.545068,519,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,287.4708767,2271.184578,62.06587391,177.5621008,1963.932174,70.79369233,0.947229571,1040.121739,686.878473,391,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,279.9355152,2137.386018,65.41301398,199.0439653,1965.781672,69.27334255,0.935728389,926.0356811,735.2458904,329,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,263.0749406,2333.358431,59.24334738,168.1114903,1830.987262,73.05883169,0.945045226,1101.195187,608.6053534,325,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,292.0772293,2252.739108,65.01668344,172.2967798,1758.785605,72.56162325,0.944192366,979.1404307,599.1103079,314,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,289.1620423,2340.065,60.4112753,250.7547503,2070.275595,71.2057756,0.924652048,1092.640925,758.903123,336,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,284.6867503,2181.076737,63.74806447,207.9338245,2058.452921,70.38684447,0.929447398,973.7031365,746.2974307,380,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,289.3813968,2370.997304,61.14935131,174.6876201,1899.149477,68.42241509,0.930953108,1094.056746,708.9441912,497,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,287.9527632,2269.823174,62.14445416,228.6321705,2040.878438,69.27877657,0.936553128,1040.594715,764.7032099,397,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,262.2680881,2285.959511,58.60348838,191.7708679,2020.396575,67.57292202,0.939763826,1095.042623,769.4359201,327,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,282.8701224,2148.950172,64.67773017,187.2850645,2251.647069,73.71515388,0.960720198,943.3075349,714.8821964,232,Activated,M,20221101,CD69+,NK-Cells
