,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
8,36,226.4723127,408.6584723,2347.136254,75.94450782,1.021363241,6.706840391,681.393984,6436.419373,59.61260886,31.47653936,1.804546577,0.965955092,869.1503353,1714.300269,131.1079797,102.1646911,288.1271333,4.494951202,0.119264047,3.149652764,544.8251663,11536.28843,42.45801605,32.46295464,0.940520752,0.019756047,115.9266195,1837.923232,307,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
9,73,231.4106845,555.5469332,2771.226912,68.26262321,0.984254905,17.56093489,829.7976868,5462.141167,70.82781259,24.23408945,1.386450234,0.928898827,1237.434002,1694.299062,129.7998006,350.5227046,692.4526945,8.450185949,0.118361573,13.59074086,531.0623003,10453.31686,30.6189466,24.8742393,0.637889925,0.03726736,329.1146438,1617.873253,599,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
10,109,333.0178571,400.358506,2439.028274,66.00613869,1.045513818,22.48809524,755.1537632,6497.27375,71.889689,24.20275884,1.307124714,0.933436899,1088.566063,1876.535256,175.1647062,145.1373438,335.3775733,4.164808958,0.109285755,23.45780285,514.4463126,10809.12798,30.0327429,21.6997327,0.380867539,0.048252297,169.1478618,2281.523694,336,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
11,146,209.5381166,392.9028475,2450.650202,71.7082639,1.01061637,13.05605381,878.8471159,5841.466778,72.07164447,23.50091994,1.325172348,0.929333039,971.0827591,1710.579214,129.3761075,119.0896845,297.9081518,4.452353933,0.125908489,7.831311204,560.0455955,9100.180947,30.19167256,24.5109473,0.362610971,0.054448575,151.632375,1208.880893,446,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
12,182,181.3765903,440.7484071,2536.368092,68.85967583,1.027204766,22.21119593,736.6468466,5441.92329,68.86549916,24.83534033,1.334607893,0.88810346,1080.516417,1538.84694,111.3880451,215.1322736,523.2177427,5.010378928,0.110665542,29.37214905,537.2314462,9939.677877,33.98268204,26.11910729,0.421315775,0.094412436,216.2932068,1189.819769,393,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
13,219,177.8052805,396.3776997,2408.364356,75.11884422,0.985895957,11.17161716,784.9612434,4785.053492,68.3296163,25.95583493,1.287613736,0.926095317,886.836132,1635.816947,122.744465,90.19983257,378.2997507,4.20862473,0.099460613,4.252414938,544.4505977,5472.021094,34.29269634,26.32653879,0.322260094,0.038503036,104.2693984,1192.931696,303,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
14,255,171.3361111,375.4171556,2199.906556,74.79903944,0.972447069,14.275,853.2226586,5876.702947,71.13391586,24.85941535,1.304451275,0.914913082,829.9124042,1705.033349,88.29812016,106.4997765,298.8642671,3.760276228,0.101199937,8.633318725,475.6292781,9218.54494,31.64231308,23.44569405,0.395108323,0.042786727,110.9250554,1260.173658,360,cyto,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69+,NK-Cells
42,9,201.4605809,447.3182033,2596.49556,68.75400083,1.007602672,12.90456432,718.4491415,4954.052073,72.10203498,23.02479062,1.389293548,0.938399411,1108.431537,1370.805039,98.42463012,205.7947991,490.6241603,5.352833811,0.115210863,7.753172732,429.4635206,10299.97242,29.70079606,25.46048274,0.422475843,0.023579162,219.9317018,880.4526251,241,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
43,19,175.7185629,382.6655928,2264.449102,76.70684551,0.957743138,8.982035928,627.7325598,6132.758829,57.1514693,32.09579592,1.58053088,0.950738368,816.127156,1646.991782,43.13300894,51.32375991,207.7006979,3.387760071,0.095222098,4.363696142,532.5761375,12251.84906,43.33940985,36.81627805,0.715584948,0.021730718,62.42054753,1981.186449,167,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
44,28,244.0156863,398.996149,2465.065412,74.41229647,1.027509839,9.423529412,623.9533765,5303.661069,62.62504597,29.48617163,1.588739929,0.956194671,924.1168007,1499.328421,124.4135208,91.48801083,319.9242181,3.908458228,0.110541414,4.855494016,523.6738573,9797.18556,39.64369941,34.08895509,0.668443148,0.026180591,142.6014459,1864.311745,255,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
