NADH,NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,415.0033791,2479.728195,67.64948051,424.2596209,2707.284657,73.98896029,1.039606795,1075.639913,1002.156438,277,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,390.3433628,2443.622114,72.68350694,478.2072997,2756.386719,74.06098454,1.05119369,947.4059956,1050.803262,317,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,387.9061303,2411.878102,71.21520057,481.208483,2834.569178,75.02924873,1.045501,963.4884331,1050.64601,353,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,397.4545696,2358.111294,70.7213699,509.9348256,2819.190744,76.9646233,1.052459136,964.3981325,1027.477113,309,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,396.9953147,2438.105685,67.84845939,357.6621421,2569.914315,73.24788477,1.028471983,1050.08394,938.175484,197,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,391.1920136,2459.260636,67.32494318,288.6971409,2469.554318,69.04989,1.025514651,1061.538757,953.8347903,220,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,365.1864634,2293.791799,75.54611951,317.2462332,2422.778293,71.09662927,1.009413774,834.5509704,918.2156446,328,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,374.6535753,2446.737715,71.57981855,298.2470618,2396.438441,73.92480672,1.007414193,968.6885493,841.4072368,372,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,394.2926549,2411.850664,70.36349204,375.1567876,2566.559912,69.20305442,1.028676321,989.2890325,1042.705968,226,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,448.3923804,2379.773043,70.71500254,337.074413,2799.636848,72.42074783,1.003059225,1001.316238,993.3946492,276,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,416.8209425,2429.450767,68.83348243,363.980507,2556.916741,70.2426476,0.998283977,1038.643434,1006.917285,313,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,442.4888699,2551.470361,68.27463036,350.6598467,2577.374096,73.30391084,1.019977218,1101.021026,934.3980707,415,Activated,D,220309,CD69+,NK-Cells
NK_act_1n,390.1786185,2393.466593,76.3783563,426.8536704,2847.747,75.27632148,1.018210942,852.279565,1006.200089,270,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,393.9221237,2361.643333,72.7416457,533.428914,2944.52,76.95261398,1.052211954,922.9456344,1072.379707,186,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,396.7027313,2517.825485,66.30745224,438.9605955,2668.157724,74.05270634,1.047223769,1104.666801,1005.013063,268,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,411.2185632,2468.409789,69.80937842,403.1967442,2779.186579,74.01914842,1.04086064,1025.514732,1008.857508,190,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,393.3267111,2387.909667,68.54746556,395.0265944,2586.663111,69.16142444,1.026183943,1016.869032,1057.873577,180,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,383.21403,2182.8163,78.67044067,453.085012,2708.7309,73.253806,1.032639306,761.167431,1040.716233,300,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,569.8561123,2956.042101,57.6366,471.1825279,2830.449819,74.95982754,1.03093931,1557.062035,1044.431041,276,Activated,D,220309,CD69+,NK-Cells
NK_act_2n,404.6732904,2353.988088,69.77902059,367.9159467,2664.238051,73.99690882,1.021546659,987.6845598,954.8458209,272,Activated,D,220309,CD69+,NK-Cells
