cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
23,386.4761905,347.837119,2301.26619,71.162175,0.997915929,47.96428571,440.0799762,2159.08869,71.67788571,28.32211429,1.119427857,0.893646364,910.2055603,907.7533462,177.5409321,44.52988218,119.6266905,3.2768314,0.076855989,52.21652013,201.6460487,541.7968587,6.35212941,6.35212941,0.094646768,0.096715719,90.7739054,188.3980746,84,cyto,NK_unact_6n-037,NK_unact_6f-038,Control,D,220303,CD69+,NK-Cells
139,150.75,444.6433333,2469.252381,66.15280833,1.002327238,22.32142857,332.7122024,2212.232976,76.35294643,23.64705357,1.025042464,0.874405977,1123.600769,778.7991576,23.23109414,117.5449201,295.7757323,4.612266643,0.128973952,14.35115605,112.8479313,517.8905453,4.171048772,4.171048772,0.116316511,0.062692356,141.7899119,166.0037064,84,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69-,NK-Cells
68,311.6190476,407.2819524,2226.165476,58.80022857,1.088137738,27.72619048,423.1372262,2372.422619,70.76527024,29.23472976,1.055891274,0.892416574,1147.134691,980.3991036,189.8998407,166.2837234,326.5112232,6.784843108,0.114765449,4.867772531,217.6826547,499.6396878,5.2639634,5.2639634,0.115268906,0.055638071,107.5608008,197.4288722,84,cyto,NK_unact_6n-037,NK_unact_6f-038,Control,D,220303,CD69-,NK-Cells
89,645.8809524,441.5289167,2572.16119,60.0772131,1.038665976,32.30952381,356.3637738,2392.739048,73.22173095,26.77826905,0.924848988,0.948197383,1289.898643,891.3013079,228.8486323,98.34459868,153.3474419,4.416566176,0.125657639,16.11403354,148.4003846,364.9753547,5.05562102,5.05562102,0.09524959,0.028650134,136.233889,135.1976903,84,cyto,q_3n,q_3f,Control,M,221101,CD69-,NK-Cells
140,732.0714286,402.9823214,2447.703452,57.39122143,1.053433988,48.16666667,492.4769524,2597.101071,70.10115714,29.89884286,0.957510321,0.9353523,1273.967058,1111.075247,245.874921,58.89659457,117.0147376,2.838301767,0.107144318,23.031583,184.1980224,402.5606023,5.573006037,5.573006037,0.126673317,0.032573027,96.04965659,138.8870774,84,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
78,663.1071429,422.1422857,2424.518929,67.42891905,1.035365417,79.57142857,382.7698452,2313.615595,68.21749881,31.78250119,0.918811631,0.891740596,1072.972288,992.7488276,222.3791952,32.46120014,116.0949374,3.5582735,0.098123895,66.17306366,59.58057533,178.1704688,3.504338743,3.504338743,0.07421407,0.080898007,82.01912922,56.30901277,84,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
63,736.0714286,437.4482262,2506.779524,64.16912976,0.998273512,39.67857143,372.2866429,2383.201786,69.62841071,30.37158929,1.014655583,0.947758114,1178.100387,972.4376856,202.9209464,40.96225587,124.2797982,2.809037854,0.120933377,18.30541477,174.7149601,407.659731,4.706878725,4.706878725,0.122212236,0.021400461,75.28934787,149.6128288,84,cyto,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
37,741.3214286,414.0319643,2413.630119,65.89956667,1.105559143,46.61904762,411.0082381,2313.675119,71.54734762,28.45265238,1.026901286,0.939887643,1096.912517,940.0293916,186.9096915,62.42993277,113.4565365,3.848151972,0.089419468,22.50884954,179.2946351,446.7048248,5.50028513,5.50028513,0.100043945,0.02754029,132.7917413,177.5781042,84,cyto,c_6n,c_6f,Control,N,221114,CD69-,NK-Cells
73,557.3452381,426.744619,2563.702857,63.09457262,1.050333286,33.6547619,321.8735714,2129.525952,73.88873929,26.11126071,1.011957881,0.934593045,1212.675492,779.5943801,221.760562,51.53497946,133.4271822,4.36078679,0.10173609,34.34533835,152.2377859,463.3971652,5.103335656,5.103335656,0.102270601,0.065285355,91.66581436,137.5152762,84,cyto,a_4n,a_4f,Activated,N,221114,CD69+,NK-Cells
134,729.3095238,409.2907738,2464.636667,60.825325,1.05650169,42.02380952,381.3292976,2350.018095,72.62237857,27.37762143,0.990925714,0.948002284,1216.145829,913.4688416,212.4835345,69.81134805,134.0913618,4.266898461,0.105533756,35.44892004,87.71653956,263.0717635,4.035331903,4.035331903,0.092902851,0.034703733,123.5010027,78.72595599,84,cyto,c_4n,c_4f,Control,N,221114,CD69+,NK-Cells
75,730.6904762,439.9948929,2590.593452,62.09929524,1.086902345,44.96428571,365.95075,2399.404881,71.89226667,28.10773333,0.96854825,0.942397034,1258.850037,929.6112685,208.2442945,57.01904812,153.6257633,5.674798048,0.129128787,30.48303752,93.08916585,426.2636385,4.581282651,4.581282651,0.077948261,0.033893818,196.2544386,163.5113891,84,cyto,c_5n,c_5f,Control,N,221114,CD69+,NK-Cells
11,183.7764706,401.0938,2437.055882,63.74380118,1.009197447,41.11764706,362.3221059,2065.527412,73.95085412,26.04914588,1.024195176,0.816768324,1136.216424,799.9126604,60.58511849,67.37503839,179.3678214,3.927170447,0.12380567,26.64690269,104.5342453,335.3053418,3.415777016,3.415777016,0.072479013,0.092611883,63.43872851,121.1000061,85,cyto,NK_unact_3n-026,NK_unact_3f-027,Control,D,220303,CD69+,NK-Cells
138,181.1529412,397.1654471,2421.703176,57.88419176,1.010933671,32.67058824,428.0307882,2579.884824,70.02996353,29.97003647,0.988870859,0.846453716,1241.709781,1063.743319,32.76340361,143.9324482,278.1419328,5.694234797,0.107611249,13.64724657,154.8135782,402.6820464,4.40021996,4.40021996,0.093100051,0.058117624,113.172699,139.232072,85,cyto,NK_unact_1n-020,NK_unact_1f-021,Control,D,220303,CD69-,NK-Cells
90,521.8,428.0481412,2377.392235,65.52404235,1.018712894,25.29411765,385.3073294,2326.727765,73.64359647,26.35640353,1.014926918,0.952586107,1101.386241,890.4609777,112.8313955,36.22978651,95.75362715,3.809586151,0.094669454,6.489595206,59.81571723,335.053585,3.447660413,3.447660413,0.077351496,0.013464268,85.13717293,82.89189413,85,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
132,564.4705882,445.0624824,2543.355765,57.98856941,1.060702553,39.84705882,385.0623765,2510.076353,71.34527412,28.65472588,1.0480982,0.931379,1328.245507,981.314119,114.2471828,49.42417814,112.2131102,6.330408573,0.120187539,18.26882974,155.4143412,426.6380593,4.629267777,4.629267777,0.101169125,0.032795221,134.4149763,153.0576508,85,cyto,c_4n,c_4f,Control,N,221114,CD69-,NK-Cells
157,619.7411765,408.7464471,2505.809294,62.66376588,1.067433647,39.95294118,391.5381294,2414.134,70.57493176,29.42506824,0.927024435,0.937601462,1192.993137,968.6660061,124.5890533,45.55154789,101.6844895,7.761122205,0.106071993,9.060518594,121.7910047,501.2462526,4.979878583,4.979878583,0.087232312,0.017058689,165.8491809,117.5828335,85,cyto,c_5n,c_5f,Control,N,221114,CD69-,NK-Cells
53,645.1058824,410.1830824,2330.650588,70.91697059,1.120358812,36.64705882,455.6768118,2537.399647,74.29944706,25.70055294,0.952468212,0.941269321,967.0824902,980.0986495,301.3279744,30.49129979,126.8955602,3.910019,0.121362073,20.69144399,148.9693114,442.4557539,4.040376359,4.040376359,0.067129007,0.035966208,68.91248403,157.7159314,85,cyto,a_4n,a_4f,Activated,N,221114,CD69+,NK-Cells
31,619.2,412.4914706,2447.202941,68.84883882,1.0355392,33.74117647,327.4994941,2297.105059,71.98096706,28.01903294,0.951932494,0.943773522,1046.286438,863.2905797,209.1053961,31.84557258,135.3419003,2.274627371,0.098104433,12.57657776,199.9105472,501.6393988,6.174756016,6.174756016,0.123111993,0.024825014,73.96881851,218.2294196,85,cyto,a_6n,a_6f,Activated,N,221114,CD69+,NK-Cells
110,775.4117647,438.3474706,2504.408353,64.09510588,1.109998059,59.71764706,298.4698941,2113.991882,69.91636941,30.08363059,0.952805647,0.932039201,1181.793088,843.5852816,273.0039374,51.10588327,120.2519191,4.437023076,0.140032838,47.89910322,62.99939718,169.8262027,2.233277097,2.233277097,0.092446507,0.047187911,135.882563,87.55785085,85,cyto,c_4n,c_4f,Control,N,221114,CD69+,NK-Cells
151,388.872093,373.2614535,2435.294651,67.75644419,1.073841593,39.22093023,300.877907,2359.852907,73.74181512,26.25818488,0.936723965,0.902976916,1034.570433,830.1644676,152.2157754,45.04921763,185.6159611,4.362987714,0.102244209,38.20298761,140.9199511,381.9834952,4.988094325,4.988094325,0.100496599,0.083461164,86.66383093,135.272835,86,cyto,NK_act_6n-017,NK_act_6f-018,Activated,D,220303,CD69+,NK-Cells
136,528,431.0660581,2461.239884,54.62327791,1.090927814,36.3255814,415.7591395,2356.76593,71.20266512,28.79733488,0.9239535,0.932805652,1350.609103,967.3468876,199.9235736,61.28540445,132.8290343,3.212468877,0.101331727,15.26198034,128.4343385,347.9993057,4.544414616,4.544414616,0.107391498,0.024815549,76.00054547,127.4666371,86,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
150,501.244186,484.9398837,2627.643837,52.82862442,1.086951779,46.97674419,343.1342326,2350.33407,70.81691512,29.18308488,1.018614186,0.907457696,1492.082504,911.7791662,186.1329023,83.9117021,184.3314071,4.720669953,0.104955649,17.33067783,139.827151,400.4185645,6.223444437,6.223444437,0.109819492,0.041768382,93.82816048,102.2160143,86,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
76,695.4767442,392.8889186,2516.733372,62.11944884,1.073026535,52.70930233,323.2119535,2299.735,73.98289651,26.01710349,0.969096558,0.931038437,1197.265931,831.823327,173.7070371,32.63579895,76.15693266,3.79701977,0.099577722,36.32074963,79.4818292,242.8732107,3.467267867,3.467267867,0.081726129,0.037502837,94.47960063,119.7005651,86,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
5,669.8023256,443.1058605,2523.372093,63.23524651,1.075172884,31.30232558,343.4240698,2387.471279,75.00926977,24.99073023,0.918763581,0.953052098,1209.013454,849.6914294,205.5414554,37.88599742,84.74880447,2.743446857,0.110628013,14.23836554,66.54752657,246.5903983,4.711212949,4.711212949,0.085659771,0.021182524,75.45385806,69.85475034,86,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
100,499.5581395,445.8755116,2513.348605,63.35434419,1.035862326,25.15116279,404.9719884,2326.535814,75.6734186,24.3265814,1.030081233,0.946918379,1202.253232,865.3728982,165.6353617,58.28474038,127.0776164,4.531234844,0.110207772,8.892187505,181.9123389,495.584116,5.698556509,5.698556509,0.08716996,0.027057534,88.90804859,228.2470478,86,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
34,764.7093023,437.9505,2462.869186,66.30707209,1.070168907,45.19767442,310.7454419,2081.307093,74.44202907,25.55797093,0.986432977,0.94734125,1119.772495,758.2045797,349.2924568,45.3524033,110.6809542,4.376807115,0.076801384,32.32803182,99.74326048,276.5666291,3.209685612,3.209685612,0.104903695,0.026487913,81.543642,88.32455425,86,cyto,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
107,704.3953488,432.455407,2516.252674,63.3253186,1.065629663,49.89534884,351.0173023,2218.620349,73.91565581,26.08434419,0.898543709,0.933807612,1200.364467,829.0067999,248.0606794,31.81834515,143.3120918,4.4915117,0.116996879,26.12325044,72.84869728,307.9206429,3.998012982,3.998012982,0.095959742,0.028317561,131.5597426,67.32744068,86,cyto,c_6n,c_6f,Control,N,221114,CD69-,NK-Cells
16,651.4883721,400.755314,2435.338953,70.14609419,1.003554733,36.41860465,320.9557558,2085.909186,70.57984419,29.42015581,0.953740767,0.939766096,1007.841141,833.8594281,227.8578372,22.1619147,110.457084,1.948051074,0.104943543,18.54245692,81.73718765,324.583154,3.343913138,3.343913138,0.095288502,0.039521168,46.63925306,102.9734763,86,cyto,a_2n,a_2f,Activated,N,221114,CD69+,NK-Cells
179,352.1609195,338.9600115,2313.976667,56.49821494,1.089508989,37.81609195,249.2015667,2383.754368,77.88667126,22.11332874,1.065137057,0.894284378,1197.226609,721.8520315,169.6199496,60.90507321,116.1679332,5.073183073,0.083765018,23.51571901,92.85642023,232.083611,3.856059547,3.856059547,0.130360188,0.058555854,117.5598752,156.0454592,87,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
255,288.4252874,367.3494138,2319.341724,69.27387356,1.048502333,36.44827586,256.784069,2003.658276,79.98756782,20.01243218,0.963818655,0.871893383,963.9306075,602.053442,137.4641291,73.16049238,143.1290185,3.724912175,0.086559359,30.28345109,71.68898424,276.3334185,3.502370845,3.502370845,0.117960616,0.106482437,112.6200859,78.15661229,87,cyto,NK_act_5n-014,NK_act_5f-015,Activated,D,220303,CD69-,NK-Cells
142,790.3218391,444.5136322,2498.318736,65.03221149,1.105899701,53.08045977,300.6081609,2239.086207,69.52754598,30.47245402,0.97209708,0.932428828,1162.497211,886.1672741,275.5516452,29.19032356,121.3222963,2.904128602,0.114005911,23.99380656,111.4509896,298.392993,3.375555513,3.375555513,0.083258444,0.035041822,65.46498417,120.6361028,87,cyto,a_1n,a_1f,Activated,M,221101,CD69-,NK-Cells
94,473.1609195,437.2515517,2571.718736,61.67042414,1.065428609,53.10344828,415.4906437,2504.412644,67.77997241,32.22002759,1.02621908,0.893723839,1254.502965,1070.489923,134.9457146,63.1747789,163.06173,2.988730956,0.118555836,21.50177628,195.4614041,514.7528583,5.904809588,5.904809588,0.093002774,0.049432895,101.4217117,163.7940481,87,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
