cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
219,483.2281746,269.8648869,1816.312837,79.01683929,1.126130911,114.2103175,301.6957643,2049.324286,76.35694365,23.64305635,1.073628046,0.819545429,593.7269828,715.6668491,226.1302285,35.34980307,102.0740215,2.604881483,0.153845101,138.414795,162.8672785,410.6719279,4.762260923,4.762260923,0.164309557,0.17123528,60.245593,218.1780014,504,NK_unact_3n-026,NK_unact_3f-027,Control,D,220303,CD69-,NK-Cells
155,383.4116466,299.211494,2256.522972,63.86095884,1.03494554,79.37349398,381.3909418,2467.793835,70.55258153,29.44741847,0.98214601,0.814433346,1004.290848,986.045828,228.2941668,94.96598505,182.4746462,4.428692269,0.110697876,82.68758358,200.2068543,468.5192248,4.912889754,4.912889754,0.118887235,0.153704339,130.7517114,200.7422807,498,NK_unact_6n-037,NK_unact_6f-038,Control,D,220303,CD69-,NK-Cells
197,649.3153527,281.869,1921.24778,77.86296452,1.144095133,281,302.6096373,2182.061328,72.81426494,27.18573506,1.122332234,0.742722382,644.1849991,811.0552338,248.9690429,32.30262871,94.68721687,1.679464731,0.134499566,213.6881167,135.3610365,333.3133537,2.771257577,2.771257577,0.143761101,0.133137214,29.65032328,157.6399549,482,NK_unact_4n-029,NK_unact_4f-030,Control,D,220303,CD69+,NK-Cells
165,501.7089397,281.3095967,1913.277131,79.09519979,1.142827838,147.5072765,283.8492245,2008.320811,78.66226216,21.33773784,1.017498042,0.783969824,621.2746741,649.4344117,214.8409744,39.0218872,146.2319352,1.691048639,0.1410681,104.1006146,39.70788365,208.0391324,2.547126399,2.547126399,0.099017745,0.097634108,47.50439232,62.25816598,481,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
109,374.1880531,258.7700398,1868.88677,79.66260155,1.115063199,48.1880531,209.962019,1670.798188,84.94577323,15.05422677,1.049725653,0.877984408,606.5009542,429.6161147,209.145368,96.40385685,420.8948607,7.587196264,0.121718395,27.02692324,48.2888898,322.0581942,3.902666787,3.902666832,0.117585118,0.058026027,261.705735,107.4541714,452,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69-,NK-Cells
232,469.2022222,282.5718822,2196.219978,75.67941956,1.137074044,118.94,277.2420911,1948.241289,77.76540067,22.23459933,1.041749307,0.8280925,754.3620394,652.5921224,206.4781388,63.61973113,267.1710392,6.025102148,0.169114066,150.2084771,75.55064107,261.8123475,5.149730744,5.149730744,0.110856243,0.089882166,188.1589281,149.9102298,450,NK_act_6n-017,NK_act_6f-018,Activated,D,220303,CD69+,NK-Cells
15,350.7772829,412.5186125,2362.131559,66.77276459,1.053492857,33.71937639,317.2813653,2370.940356,74.29758998,25.70241002,1.004113105,0.911176039,1061.383532,838.4799502,65.55647321,46.76141887,179.2702301,5.387346781,0.108770498,13.12496951,103.5788596,359.8995885,4.128011408,4.128011408,0.090757371,0.035391728,142.9054861,124.9296915,449,a_6n,a_6f,Activated,N,221114,CD69+,NK-Cells
150,970.1932584,396.5415483,2273.665393,79.20431371,1.072607964,90.03595506,277.2523596,2211.235506,75.04520629,24.95479371,1.072907694,0.919476879,792.4063675,756.1482554,299.2229553,23.74579576,182.0442034,4.329889074,0.120158701,45.94006634,39.57634002,190.288695,2.80425912,2.80425912,0.105188515,0.022867091,121.4085894,59.37928117,445,c_5n,c_5f,Control,N,221114,CD69+,NK-Cells
102,739.2995495,354.2288221,1820.411982,84.90356081,1.080316935,127.777027,278.7796104,2033.46509,72.76115878,27.23884122,1.038081912,0.856664964,574.9673816,754.9346335,210.9931431,21.49941919,109.4626434,1.5202047,0.118212996,89.73958972,52.4972814,148.753583,3.109261964,3.109261964,0.112458632,0.093200466,28.61291646,79.24811143,444,NK_unact_4n-029,NK_unact_4f-030,Control,D,220303,CD69+,NK-Cells
244,427.847032,297.8023386,2131.400365,79.04587991,1.164993249,232.8447489,259.972308,2231.383653,78.20768562,21.7923142,1.230781119,0.701900957,686.5113625,690.1020132,203.3798441,97.22968148,225.4652853,7.036300218,0.242893553,245.8803054,100.3522899,219.5218959,6.459674255,6.45967473,0.270307871,0.126757267,224.8507369,213.4192794,438,NK_unact_3n-026,NK_unact_3f-027,Control,D,220303,CD69+,NK-Cells
