NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Donor,Activation,Cell_Type,count,Cellsize,NCR,NucI,NucRR,NucNtm,Gender,cell_index,n.p.mean,n.chi.mean,f.p.mean,f.a2.mean,f.chi.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,celltype,FAD,Type_Activation,Donor_Activation,Donor_CellType
339.1440313,2533.112188,52.50842969,165.0962266,2351.488594,77.38843125,1.032707493,1381.435967,657.9691573,64.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
405.7371304,2525.048261,52.45396522,133.2182652,2298.641304,81.30983043,1.10537945,1410.979083,535.1866535,23.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
358.5818613,2348.782701,52.5921073,167.6108861,2244.945839,75.08722482,0.737190226,1299.702237,684.3098751,137.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
356.19425,2493.81,60.1774,107.2125125,2150.875,86.0656875,1.171189426,1207.25581,386.7016683,8.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
383.3588571,2559.721429,51.95478571,170.5982357,2489.974286,85.45117143,1.192856247,1428.780664,503.644203,14.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
515.6607333,2554.446444,58.32000222,185.5394489,2377.305778,76.40934889,0.939221257,1364.821378,701.0054074,45.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
373.2205472,2364.778585,55.68478491,163.2327925,2286.551604,75.64572264,0.707206122,1254.660062,680.095736,106.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
349.89705,2299.304,53.6447975,190.28935,2451.57775,75.2183475,0.739435125,1252.521202,751.807532,40.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
491.518619,2312.29381,51.61610476,169.0996667,2212.381429,83.05525714,0.968941303,1355.620631,513.2774817,21.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
381.1369762,2344.499762,50.57938095,184.5836548,2431.737381,81.55958571,1.077323184,1349.695431,597.4686622,42.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
431.9949636,2482.421273,51.33267818,181.8906164,2067.778364,78.25086727,0.892424289,1425.436505,590.7922814,55.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
373.1715758,2500.418485,52.45093636,160.7705848,2183.781515,78.87725455,1.026996217,1382.550646,587.3264518,33.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
463.3671765,2419.094706,58.25192353,123.7068029,2060.559118,82.04573235,1.06421562,1277.247164,471.9226572,34.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
444.8413504,2492.172137,52.39224786,151.6151795,2211.660684,76.69167521,1.079302607,1419.419566,630.982021,117.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
370.8018077,2506.843077,62.79876154,156.7872231,2166.054231,81.36784231,0.946952444,1164.945718,526.4999862,26.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
354.1095,2470.222179,59.44359872,183.6917141,2382.733846,78.84599487,0.917301199,1211.811547,646.5752357,78.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
383.8374,2248.624667,54.10294,127.7647267,2152.926,80.23874,1.129416497,1238.933227,518.3269493,15.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
316.1526061,2257.215606,49.37813182,156.8248742,2501.149848,82.37422576,0.987283192,1297.274764,566.652454,66.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
449.0921429,2464.146667,52.90790714,148.1188762,2168.295714,81.41869524,0.88937483,1397.176952,522.36754,42.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
413.8678438,2352.493125,57.83613125,176.0688281,2222.941406,76.45212188,0.901060566,1229.558879,658.1595239,64.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
475.6223529,2420.299412,51.50992353,118.4687529,2297.228824,80.61843529,1.111794908,1418.991894,539.7169221,17.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
351.4775385,2393.345385,52.07907308,218.0939231,2213.196154,78.51406923,1.053000363,1329.796197,645.3433124,26.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
311.821275,2189.1705,50.192425,126.2312575,2331.0355,84.3926925,1.042285086,1245.318258,466.2034024,40.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
399.6449286,2440.738429,49.53953571,161.6530429,2362.003429,75.98514,0.794946611,1426.529218,690.4859159,70.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
328.0789706,2402.252206,58.70821912,152.4291162,2478.822059,77.946375,1.010007691,1183.885857,661.5547422,68.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
300.4659524,2341.214286,54.70683571,200.1189595,2270.204762,76.52297857,0.97914783,1224.259545,685.4031312,42.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
376.0143039,2434.071373,52.3672098,169.5382039,2520.20098,79.23112353,1.005845629,1355.073573,654.7361914,102.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
435.9748169,2529.524789,50.66981127,182.8947225,2375.091549,77.64682113,0.943335037,1468.713554,667.2746642,71.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
387.6768651,2388.406032,56.83884921,143.9541437,2229.367698,80.55680794,0.892283084,1249.566389,548.6086824,126.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
296.4789,2343.569,53.94535,159.8025,2041.774,80.3625,1.175090815,1242.374986,526.7615505,10.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
233.745398,2078.933516,72.29540352,159.2316734,2305.038789,74.27680664,0.783599704,746.8658986,708.1382292,256.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
508.8446071,2498.7175,54.77202143,126.9643071,2157.142857,85.61155714,1.054424279,1406.766544,416.7578024,28.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
439.759625,2332.6925,65.602095,237.206775,2074.51025,77.936045,1.177872356,1090.568328,637.9789997,40.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
529.1227813,2612.651094,67.17151406,234.450625,2170.704219,77.85984063,1.310765613,1212.208034,659.0110088,64.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
316.513,2296.844773,54.47396818,141.5693523,2467.224773,79.58339545,1.022469044,1217.564537,613.4287787,44.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
430.2336932,2479.142386,52.86446136,190.157033,2343.460227,78.63452045,1.043402932,1395.248098,649.2488808,88.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
377.2186301,2453.800137,53.8179589,182.9107562,2267.243699,78.74567945,0.924993562,1331.376592,623.6133066,73.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
360.3759211,2506.332368,57.68916974,156.8017237,2094.892895,79.093725,0.864012868,1265.823063,561.1432155,76.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
300.6155217,2101.096304,52.20963913,151.9459674,2225.812174,78.99483696,1.103702914,1158.900526,588.8308718,46.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
421.7983529,2537.98451,54.84410196,193.2010255,2361.757843,77.74813529,1.024596868,1374.79327,672.6991946,51.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
340.087439,2403.687561,49.2906561,178.9978805,2398.969024,75.55182195,0.992547365,1385.197288,716.9349983,41.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
369.4625,2280.742321,52.41941964,166.3736446,2280.467857,77.84420893,1.035377295,1277.277856,636.5117228,56.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
399.2245,2388.0825,53.55088333,189.7730667,2315.931667,80.981725,1.069257946,1322.697962,591.014225,12.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
374.1839231,2387.349385,58.20767385,154.5125692,2208.725231,77.94926769,0.943177854,1214.280481,605.3130151,65.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
378.9240375,2373.800875,56.048955,177.35829,2328.428875,78.95695875,1.044014726,1253.241215,623.9696996,80.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
357.9160769,2336.766731,52.35524231,180.7588269,2469.628846,75.55141538,1.028163415,1300.093688,738.7593402,52.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
333.4025,2238.193182,43.45937273,235.8700091,2193.447727,75.01329091,1.135675638,1407.876885,726.6298587,22.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
