RR,Ntm,Ftm,Cellsize,Na1,Nt1,Nt2,Fa1,Ft1,Ft2,NCR,NucI,NucRR,NucNtm,Activation,Donor,Gender
0.936769551,0.91428334,1.206635242,0.776908551,0.970705681,0.923105638,0.985456614,0.981239347,1.349450196,0.995691195,0.435244276,1.10841098,0.960113898,1.770696382,0,2,1
0.997476698,0.956190163,1.569908787,1.143512274,0.979768677,1.032041443,1.067719946,0.929608495,1.644513956,0.934736912,0.126979074,0.937401089,1.008655581,2.312357217,0,2,1
0.866232123,0.825778905,0.807916761,0.619099002,1.013999478,0.966907298,0.959329045,1.015639501,0.898740966,0.907656579,0.536750679,1.019182051,0.905462675,1.921220669,0,2,1
0.948128767,0.956190163,1.20099314,0.59239277,0.956055782,0.879169622,0.877141151,0.987615855,1.390322241,0.987699306,0.441031597,0.86621151,0.976064295,1.63339515,0,2,1
0.915200232,0.825778905,0.869252376,0.696789857,1.01648064,0.838779558,0.91469049,1.017140498,0.886433933,1.00593615,0.981518149,0.86621151,0.968585793,2.169309249,0,2,1
1.072168594,0.979322443,1.327866523,0.348529835,0.983886862,1.051015368,0.890694922,0.968795029,1.317841549,1.040862055,0.942661743,0.996044718,0.936471001,1.70690511,0,5,0
1.099785774,1.177695873,1.272492707,0.435210831,0.9014671,1.111186483,0.889868374,0.971278318,1.269590108,1.005810859,0.560883737,1.19553492,0.956974364,1.73629384,0,5,0
1.025123327,1.21763928,1.525302109,0.341306419,0.902881911,1.230714939,0.89432069,0.939747935,1.470224681,0.978336937,0.793120269,1.242178793,0.892355507,1.804662138,0,5,0
0.824038471,0.898668756,1.248623239,0.373811792,0.948085725,0.616911219,0.878681343,0.971467978,1.300730159,0.951514351,0.87303821,0.924192191,0.698555345,1.389821679,0,5,0
1.059887587,1.106699182,0.871780935,0.442434247,0.943274193,1.15172652,0.915315886,0.953452277,0.983167038,0.857631506,0.69273684,1.109750034,0.925425172,1.449298012,0,5,0
1.025826586,1.227029296,1.054768944,0.449657663,0.876929185,1.081721024,0.901254643,0.992105594,1.062620263,0.993234159,0.817149053,1.251405361,0.838027903,1.561164896,0,5,0
1.113790492,0.95456551,0.745116042,0.330471295,0.973705957,0.96187848,0.882491898,1.030501934,0.858375543,1.023571803,2.7508222,0.91416055,1.000310779,1.24687837,0,5,0
1.082519017,1.185175943,1.276409917,0.41715229,0.886031168,1.033114462,0.892514045,0.967174918,1.263218403,0.977929212,0.716770029,1.194816577,0.938815009,1.788897037,0,5,0
1.077649432,1.163717625,1.022089674,0.653719173,0.918309122,1.098804926,0.920810058,0.993995007,0.924400543,0.991550216,0.209591813,1.191395409,0.93601648,1.723430136,0,5,0
1.173046212,1.047959815,1.085213286,0.446045955,0.95341455,1.120246667,0.874346462,0.978288555,1.22813182,0.818450337,1.156489836,1.024588126,1.028727324,1.385666413,0,5,0
1.024828156,1.220514204,1.019693838,0.449657663,0.890131794,1.111753947,0.907169234,0.996417566,0.974150137,1.023692193,0.753614278,1.224227848,0.852994455,1.726179677,0,5,0
0.695291251,0.737617147,1.069417264,0.583290864,0.954633786,0.494943229,0.824024966,0.989857149,1.068062621,0.968921563,0.883693475,0.53799778,0.64109096,1.320065668,0,5,0
1.135953726,1.08558783,1.674541088,0.243790299,0.946135444,1.164875129,0.870798564,0.902554375,1.915288236,0.795436743,3.039369983,1.040894698,1.024616552,0.919163958,0,5,0
0.747396529,0.508220176,0.526957277,0.260042986,1.067287838,0.461441075,0.72419405,1.052338864,0.718548473,0.917489424,19.40312087,0.109859403,0.483803672,0.809866108,0,5,0
0.974671449,1.128746677,1.050033628,0.348529835,0.913592862,1.11878916,0.877670108,0.996012413,1.119210147,0.981623039,1.751256038,1.164116879,0.784609909,1.215889389,0,5,0
1.084738738,1.181400543,0.999361237,0.287130797,0.943843229,1.234181971,0.964542586,1.011173798,1.076707331,1.155222591,0.95851691,1.199966361,0.941361343,0.994746021,0,5,0
