RR,Ntm,Ftm,Cellsize,Na1,Nt1,Nt2,Fa1,Ft1,Ft2,NCR,NucI,NucRR,NucNtm,Activation,Donor,Gender
0.873568075,556.0096087,300.965741,58,81.67004395,238.9457877,1985.977138,84.87463989,91.61210022,1472.117993,1.761904762,522.4206277,0.840788743,207.9137931,0,3,0
0.880556507,612.8702436,251.3727182,119,81.21179054,287.3729674,2018.780645,91.30186169,65.92448455,2194.603816,0.888888889,566.8753546,0.876734985,371.3277311,0,3,0
0.734398532,760.6032593,366.4779458,90,72.13099041,172.7369503,2288.887451,86.38540203,83.57017806,2162.838769,0.666666667,760.6032593,0.698504678,184.2333333,0,3,0
0.876701722,629.2872549,253.998999,179,79.32051899,261.0080643,2050.344166,90.92855511,67.50672464,2116.098749,0.627272727,600.8671718,0.861900829,365.1620112,0,3,0
0.811515662,598.8669712,208.0379827,168,80.32290777,250.022789,2037.572884,92.78572924,59.07126351,2118.239477,0.787234043,576.760057,0.807254512,290.797619,0,3,0
0.7865294,691.0072038,316.9693833,193,76.26447905,251.9286329,2096.449026,88.53353849,81.94241358,2125.433786,0.24516129,668.4454258,0.778900292,378.4870466,0,3,0
0.861723336,630.2918709,354.2730996,197,79.60417637,247.3491813,2131.86475,86.97286909,96.98228337,2101.220858,0.201219512,610.303166,0.860823586,556.5736041,0,3,0
0.869928784,619.6439948,296.6712219,188,79.3421253,252.319055,2039.286175,89.11804158,76.49289672,2138.949447,0.46875,588.4014803,0.845936066,399.4202128,0,3,0
0.732859497,147.2349573,138.6068997,596,55.06840982,68.08113305,569.3754607,87.37552638,52.37258122,1599.62493,0.107806691,177.8217874,0.729040287,388.4026846,0,3,0
0.830669752,638.9021624,273.6267426,140,79.47034526,260.6293381,2110.210373,90.36342049,78.11935997,2130.911511,1.153846154,582.4608956,0.813096968,247.1428571,0,3,0
0.696960053,457.5979643,221.6954586,515,76.93446157,190.4662537,1635.157534,85.23279118,72.74144125,1578.622914,0.081932773,464.6083683,0.707256995,457.3203883,0,3,0
0.756478489,538.911445,263.3720983,182,80.81996234,211.8197105,1964.449137,90.35006979,68.06485393,2106.096101,0.596491228,516.7079717,0.782645965,258.8461538,0,3,0
0.855407516,612.9103966,257.3960529,179,80.76946625,272.5821952,2053.756497,90.7631169,66.90568389,2140.846991,0.162337662,601.5711469,0.861591766,382.3407821,0,3,0
0.752509096,550.3393593,224.2591681,153,77.4140055,203.2716537,1959.607345,91.89816434,61.38237974,2025.945396,0.366071429,536.3592874,0.748111593,287.8496732,0,3,0
0.879538832,656.230126,449.0523407,212,79.06673468,265.0013125,2149.762808,82.38200989,156.3745705,1837.46698,0.422818792,602.8565822,0.893072712,280.7028302,0,3,0
0.870931778,609.2963551,305.9134478,195,80.12057302,254.5203425,2045.259648,86.95126029,82.92229075,1818.593018,0.114285714,602.9492784,0.875123417,399.3384615,0,3,0
0.824846954,645.0440353,309.5317417,202,78.82825345,256.7031427,2097.814188,88.58083172,77.40716731,2128.161628,0.496296296,608.157858,0.829972504,380.3960396,0,3,0
0.734785504,439.5572389,176.8086179,245,70.16355791,182.7084483,1623.794687,92.72587849,60.06135229,1660.639743,0.655405405,461.6915972,0.767718894,247.6081633,0,3,0
0.897768306,625.6746955,463.5102844,215,79.88909619,268.220085,2054.778539,85.06380081,140.8609962,2305.675049,0.592592593,592.8941707,0.892933877,295.627907,0,3,0
0.787524537,496.900504,147.4663909,219,76.55645913,209.0530378,1829.562778,95.40649786,58.17887478,1834.169771,0.724409449,487.4244974,0.817910122,279.5799087,0,3,0
0.692657636,615.2404636,319.9322165,406,79.14534266,197.9971411,2202.388099,87.80977501,89.27558542,2013.307469,0.163323782,600.6244041,0.703506488,651.8743842,0,3,0
0.857154969,589.0271925,290.8043213,243,81.57198015,257.7488632,2065.594267,89.56285948,106.606553,1885.600593,0.928571429,553.3796946,0.876033434,233.2427984,0,3,0
0.886038274,681.8919979,309.483565,202,77.99809343,279.9708682,2123.768688,87.60499788,88.93163457,1948.217832,0.18128655,658.779244,0.884388331,440.9950495,0,3,0
0.831060128,663.7375229,281.1415052,189,77.85793385,260.5669315,2102.604928,89.86370019,71.05579724,2139.890378,0.303448276,635.7656189,0.833418597,303.1746032,0,3,0
0.880080911,610.8553593,295.1788635,226,79.93483141,263.9201554,2014.025106,90.67766825,91.10283152,2267.703288,0.477124183,567.7314092,0.893890679,277.6460177,0,3,0
0.822663228,632.0796233,274.6626714,221,79.39613354,256.9758413,2084.383602,90.83364785,75.76413182,2233.061302,0.110552764,624.892751,0.823173679,354.7104072,0,3,0
0.732159765,408.848012,203.7117472,504,66.93890989,180.9989667,1601.074163,90.92500322,70.98909672,1679.618414,0.112582781,415.808671,0.737477718,429.890873,0,3,0
0.873268253,638.3880542,314.2440482,156,79.09660773,261.4785689,2069.822748,88.30345625,109.3136473,1935.397946,0.431192661,605.6703417,0.87828583,390.1602564,0,3,0
0.759200203,189.420091,71.78083023,329,53.89021353,87.07338345,1002.43814,97.81068821,48.89639755,1270.866034,0.353909465,253.9419731,0.797100053,311.3647416,0,3,0
0.747222969,432.1614092,142.5460217,216,72.47721788,173.709521,1599.260479,74.22377818,52.77497664,1387.128858,0.375796178,457.890971,0.787872126,320,0,3,0
0.751394046,291.6819881,211.8609062,331,64.85093217,117.0725424,1076.340402,91.1726563,69.30751718,1708.272291,0.221402214,342.2575371,0.765128689,405.6404834,0,3,0
0.806577452,615.5783196,279.4046416,179,80.16423733,260.8152591,2018.979437,88.87269066,80.35888022,2109.112755,0.26056338,588.7536397,0.802091533,468.7988827,0,3,0
0.767723003,628.5724724,297.0504047,166,80.24932224,263.3865379,2140.851202,89.76680885,81.69992843,2228.216995,1.184210526,589.8408228,0.788503869,249.7228916,0,3,0
0.811840999,560.1519216,247.0238949,166,80.55772781,235.1872081,1922.475557,91.60159439,67.07894849,2208.177443,1.213333333,529.3843431,0.846451024,260.1746988,0,3,0
0.751807359,675.9818206,213.4184792,134,78.62516129,275.8771935,2154.412632,92.53500175,52.5217982,2211.813839,1.126984127,606.099677,0.766820868,201.7164179,0,3,0
0.81074024,353.862576,201.1357007,261,63.1420944,147.6036026,1534.337666,77.0413932,65.65591819,1686.634808,0.144736842,366.2340577,0.820441754,481.0306513,0,3,0
0.790308857,573.6106242,338.1240145,182,82.1186357,255.4810581,2048.44355,87.3907427,112.0945078,1924.346773,0.272727273,562.0812342,0.803925758,358.7582418,0,3,0
0.878289786,659.6415403,379.7366148,216,78.93096455,263.8449286,2157.092179,86.05770182,125.3497474,1976.102099,0.155080214,649.9219308,0.877398349,341.7731481,0,3,0
0.820220297,551.7396407,303.4061939,218,78.0574792,232.9911031,1980.235492,86.75400471,99.95290612,1693.720297,0.117948718,548.6601056,0.828459154,370.0045872,0,3,0
0.731010929,573.2620248,315.4947627,130,80.12922007,202.4761848,2076.688555,87.70516901,92.00309795,1946.791979,0.428571429,572.5715233,0.739323782,277.2461538,0,3,0
0.90374646,598.1805893,135.9002884,164,81.28776293,272.9752352,2023.702709,96.18649902,69.4354393,1819.049976,0.607843137,559.1150715,0.914499432,250.3536585,0,3,0
0.837417263,587.7891404,251.0632222,141,80.79818523,259.8317532,1975.20183,91.24505971,65.88368657,2175.850024,1.31147541,535.8612326,0.828795008,227.751773,0,3,0
0.67843171,357.9081416,127.2479034,384,69.99484842,148.0145244,1306.850147,77.45522044,48.35958728,1204.083085,0.060773481,365.1811753,0.687641675,533.3411458,0,3,0
0.788269903,619.6821614,378.1546977,155,79.56998082,269.9980514,1990.090733,86.37670736,97.46348852,2172.646805,0.490384615,572.5909702,0.78068192,304.0774194,0,3,0
0.736610246,597.0358063,330.001723,227,80.78087698,253.8199027,2036.188037,86.14082959,99.33621765,1823.749214,0.483660131,575.6398275,0.713589636,310.6696035,0,3,0
0.751695828,564.7420052,274.9805804,133,80.79870742,243.5162039,1940.351959,89.83052291,74.17492642,2047.141569,1.333333333,530.5172123,0.714149482,244.6390977,0,3,0
0.867552804,614.9118335,143.5912966,207,79.30411876,241.6342786,2041.074839,95.64893475,62.9919673,1873.824243,0.6171875,562.1032463,0.887814228,227.6328502,0,3,0
0.841154798,615.6443623,345.8491688,470,80.19071994,258.4843054,2060.597909,87.14409715,102.1691959,1971.977539,0.214470284,592.2165504,0.835504514,416.6212766,0,3,0
0.821037781,596.4870176,246.8523602,186,80.68463532,255.0490494,2025.823658,90.89857125,63.67859105,2080.373059,0.5,565.3442836,0.815916213,367.0322581,0,3,0
0.891899487,743.8570927,381.812697,199,73.6257587,260.1186119,2089.689364,85.24338299,104.8325962,1989.869565,0.421428571,671.0518332,0.873280083,415.4170854,0,3,0
0.788953128,558.5645745,286.7793571,411,81.95616806,235.3426122,2039.437029,90.32301851,78.73687075,2234.080796,1.233695652,541.1387352,0.808317524,269.379562,0,3,0
0.824393932,576.8569944,292.2947874,179,80.61328207,246.8254721,1951.097601,89.91804314,77.0527922,2218.163671,0.409448819,553.2894758,0.841089493,313.9497207,0,3,0
0.833139168,596.7638797,328.241841,181,81.77355345,271.5486629,2072.240865,87.75699778,88.46304347,2100.321852,0.560344828,557.9617251,0.833220329,398.7569061,0,3,0
0.856249855,635.1131265,320.3245729,154,78.57760456,266.3374146,1999.035537,88.34862094,92.28649165,2091.501766,0.184615385,613.6205195,0.844717345,410.1753247,0,3,0
0.848149227,622.2412303,308.3248654,175,78.9009231,260.9485864,1978.288998,88.86601061,71.03903576,2205.11901,0.25,596.7893032,0.853738972,437.0914286,0,3,0
0.812780748,641.1028875,338.4094193,190,78.9197111,263.4183512,2072.410745,88.16111015,84.45067529,2226.826373,0.376811594,607.1980755,0.825212556,342.5210526,0,3,0
0.863747365,650.5378011,316.5938539,246,77.91971846,255.4742799,2042.020675,88.93067732,81.77876495,2199.927139,0.177033493,625.825001,0.871966749,412.8089431,0,3,0
0.845485155,685.3174414,313.2720761,195,78.04164902,272.831821,2161.263198,89.31982792,112.0628011,1960.932935,0.56,612.3768655,0.866664742,273.5076923,0,3,0
0.796498595,545.3252417,267.9446879,247,82.32362231,230.4235103,2017.241269,90.36662187,71.67996035,2114.647628,0.635761589,527.3830239,0.811496812,275.0647773,0,3,0
0.780336787,590.4203778,274.1195498,270,80.54140066,242.8460871,2033.354303,88.72948683,73.05754309,1973.521049,0.560693642,573.8753843,0.788669346,274.6148148,0,3,0
