,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
316,817.9725108,78.84660674,427.5486854,2284.467416,690.4763284,81.59639213,298.9802809,2567.31382,1.176618454,89,1,CD69+
214,1308.984444,57.28274715,398.842374,2540.954715,545.8483156,79.30997236,123.2533577,2169.399512,0.904133152,123,0,CD69-
1110,844.4003071,74.35919437,372.8751056,2212.77831,763.2836246,75.17719437,264.8324521,2309.63169,1.1849499,142,1,CD69+
581,1350.130863,55.29843514,353.9839595,2584.231622,728.2091463,75.80723784,174.8607919,2480.336351,1.195846313,74,0,CD69-
362,863.5731168,74.44236379,392.8967845,2237.0975,634.7774722,76.15788621,202.9633793,2012.225517,0.947536184,116,1,CD69+
1075,1120.428886,67.39685625,469.7764375,2468.348125,513.4107781,81.47725,199.8590313,1976.69,1.388327546,16,1,CD69+
260,1492.230099,52.37885714,452.0074857,2643.437619,686.965986,74.78653429,136.3895962,2327.317714,0.820683618,105,0,CD69-
19,1229.558879,57.83613125,413.8678438,2352.493125,658.1595239,76.45212188,176.0688281,2222.941406,0.901060566,64,0,CD69-
899,1171.099277,58.55936095,293.3344,2413.41781,725.1775635,75.3704619,190.1152343,2393.604381,0.848936996,105,0,CD69-
30,746.8658986,72.29540352,233.745398,2078.933516,708.1382292,74.27680664,159.2316734,2305.038789,0.783599704,256,0,CD69-
831,1229.538032,54.07406279,328.8047674,2293.34814,888.8442329,75.4701093,266.1121233,2832.551628,1.15742144,43,0,CD69-
1063,812.6778817,77.49792261,405.2555913,2211.746,546.060733,82.3273087,214.7738974,2114.932783,1.267432223,115,1,CD69+
503,785.4672986,78.98293529,405.4044902,2249.714706,549.5031418,78.38307647,162.8208039,1963.971569,0.984562075,51,1,CD69+
253,1488.710442,48.19610659,410.4627912,2503.214725,645.921653,78.12499011,153.4767308,2406.386923,0.914240299,91,0,CD69-
477,897.1594906,75.07757321,438.0730536,2307.368571,515.2713577,79.35532679,187.1676786,1785.910893,0.852076717,56,1,CD69+
784,1129.890733,58.31561984,316.768881,2270.496667,935.4909405,67.99140397,221.0560794,2462.057778,0.724708994,126,0,CD69-
904,1248.245345,56.63881304,248.7075652,2553.098261,963.536722,69.89657391,311.7628087,2495.318696,1.035238372,23,0,CD69-
465,737.3671174,81.03498495,416.6199892,2113.528495,554.3957977,82.49068387,216.6240398,2195.593333,1.15827328,93,1,CD69+
264,1004.969821,72.97925373,477.2228209,2451.657612,608.7528388,80.58722313,232.5142567,2201.307015,1.066917697,134,0,CD69-
363,895.5542687,75.91069434,440.4585472,2331.523962,546.0530152,78.18363019,169.224434,1900.511698,1.083083421,53,1,CD69+
1091,977.0781429,71.17889231,410.2747692,2381.266923,566.7816728,84.65868846,223.8305,2572.283462,1.386628417,26,1,CD69+
101,1088.38009,68.71066087,465.5285978,2450.45163,599.8733175,81.54568587,238.358337,2215.696413,1.162730923,92,0,CD69-
548,864.9150127,75.55695172,432.7467586,2211.514138,488.0654034,83.74367586,168.8684483,2132.342069,1.092343891,29,1,CD69+
549,841.0028728,74.33565455,388.9189636,2157.945091,537.0679745,79.68486545,173.6034273,1986.511818,1.096475149,55,1,CD69+
793,1193.028712,54.21047429,313.0409143,2237.692,769.9222475,75.82069429,241.9662571,2451.535143,0.960650071,35,0,CD69-
315,834.5890115,76.96246628,424.8548837,2230.330233,494.8179445,79.53388488,180.2973151,1743.278837,1.150623124,86,1,CD69+
521,885.7279855,73.9840511,434.303163,2184.339163,501.167732,80.53689295,177.4259066,1836.724185,1.061591862,227,1,CD69+
