,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
1259,1043.047157,60.92924433,310.5216515,2202.805258,618.9117746,77.89128351,211.4694227,2056.345361,0.987299235,97,0,CD69-
581,1288.509811,54.9713627,331.6684889,2479.855873,576.6167953,76.11374206,186.006196,1829.239841,1.008760178,126,0,CD69-
1670,1064.936636,61.2635437,302.0494103,2287.650019,1146.257429,66.84349122,381.4887901,2727.976469,0.953313294,524,0,CD69-
704,955.3250915,62.38828723,268.3121149,2109.581348,578.4077039,76.17923759,180.3078794,1858.756383,1.01027318,141,0,CD69-
649,860.9083959,69.27368922,340.1028039,2058.369804,407.986766,82.39814118,142.5711569,1656.355294,0.974838099,102,0,CD69-
578,1002.386137,67.72233564,379.9605248,2343.163564,674.9262196,75.85530693,221.4456832,2111.229802,0.975674907,101,0,CD69-
420,920.4542966,70.06245433,373.4317874,2217.247717,660.7966656,74.92169685,197.877189,2044.691339,1.036412016,127,1,CD69+
1288,901.055762,67.67456563,330.7325531,2108.575313,515.998798,82.08905625,183.6643516,2046.477031,1.014416537,128,0,CD69-
532,872.4545778,69.97901885,360.5560984,2069.076967,755.9921017,72.42379836,258.8481721,2052.267131,0.973177463,122,1,CD69+
140,898.4553725,72.0620459,380.6501803,2249.848402,1023.939777,69.65990984,340.5847623,2619.481393,1.012071579,244,0,CD69-
1239,861.5350414,69.010759,291.649494,2165.9523,627.4744046,77.850502,215.313094,2078.9123,0.968778805,100,0,CD69-
946,768.2275652,68.2434413,260.4808924,1875.930217,510.2023259,77.33611957,197.8330554,1586.079022,0.930102527,92,0,CD69-
1561,1170.292817,64.81390455,378.3966446,2672.468884,957.7723761,70.36517934,308.2595826,2508.402934,1.000713521,242,0,CD69-
970,867.6948572,67.31345352,310.6875915,2035.423662,317.9841614,85.03433239,119.4600211,1426.266197,1.005746425,71,0,CD69-
1552,1172.243016,63.63075802,417.083972,2535.6443,963.5536253,71.82247532,308.6313394,2688.877888,1.049537563,393,0,CD69-
565,1033.016787,60.56961207,315.0221474,2168.239138,548.0388323,79.25740345,183.6741379,1932.729397,0.936756271,116,0,CD69-
258,1053.9191,63.59392596,327.3308558,2342.853942,521.3180695,79.520225,174.8775038,1882.659712,1.028911632,104,1,CD69+
934,796.0060306,72.95222105,299.6399355,2071.167632,337.710821,88.77891447,136.6379158,1850.333289,0.968033373,76,0,CD69-
1357,991.6903621,60.59589468,242.8303915,2155.799574,541.3870744,77.3877766,177.3292979,1822.608298,0.995366056,94,0,CD69-
