,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
2776,639.0910269,79.75200883,270.296595,2093.613178,339.5761065,87.72321655,85.50589354,2185.658467,1.015118734,180.0,0,CD69-
5454,1010.574055,63.07163824,352.6676471,2183.340735,360.2675348,83.83623676,124.9929059,1555.266176,0.980372015,68.0,0,CD69-
3875,730.5583921,78.91019971,320.847278,2281.747881,158.6603363,94.85998077,52.24021988,2134.809985,1.2151484,392.0,1,CD69+
189,673.3447066,76.98932208,237.7536042,2125.402027,238.401037,91.45437205,75.18730243,1981.469769,1.042650341,169.0,0,CD69-
3140,651.648928,78.73187905,259.1045948,2109.210286,378.9196965,85.87437631,126.7936782,1876.763703,0.966537229,221.0,0,CD69-
7091,783.1356944,75.6415726,377.0924795,2057.223562,472.8926313,82.85609041,166.0929986,1965.133562,1.128721866,73.0,1,CD69+
4258,629.0239147,81.28892283,282.2366086,2148.261657,242.1563914,91.82936827,76.08326091,2114.384381,1.088501195,249.0,1,CD69+
4487,609.2057183,84.07920665,345.851144,2011.572216,101.6956779,96.23728638,27.99996332,2021.759174,1.203888667,215.0,1,CD69+
3537,621.2774886,81.55496682,267.4213051,2172.071428,215.226238,92.2406142,74.34583888,1888.032529,1.049469207,484.0,1,CD69+
4140,589.5254283,85.37331683,305.1498925,2252.402753,322.5671837,89.3558058,99.62696299,2201.514192,1.19569247,371.0,1,CD69+
1826,654.2937695,79.39526083,264.0730742,2183.392558,370.1880421,83.95503407,106.1376982,1808.384518,0.903939132,183.0,0,CD69-
1887,608.6059062,79.01417926,248.8260271,1976.248289,260.7423366,84.28017719,93.84454522,1212.032316,1.048345607,237.0,0,CD69-
6494,1340.40658,59.13387908,455.5394157,2691.272974,1014.75418,69.05738007,355.2529565,2552.573562,0.960944801,306.0,0,CD69-
7455,1317.224699,53.80798033,340.4004426,2460.903443,907.0411482,70.80348689,247.1314902,2541.018689,1.055606961,61.0,0,CD69-
5799,964.5193371,63.81386036,274.452473,2184.84964,530.0872166,77.07956577,155.5868559,1791.36955,0.961584368,111.0,0,CD69-
587,596.520371,81.16045797,255.3629129,2073.348568,258.3504234,85.46910251,117.2022238,1120.971081,1.041301835,204.0,0,CD69-
5826,888.6139736,70.00674157,382.1190236,2081.905843,605.4020329,79.52357528,191.9600899,2189.416966,1.02535321,89.0,0,CD69-
4265,559.2365176,86.13421715,308.0748076,2114.622574,301.3531576,89.97245255,107.1419756,2057.525977,1.22276834,539.0,1,CD69+
4385,631.7909859,77.83978024,312.6366206,1780.35054,435.5093018,81.96330872,144.9148415,1688.19198,1.185452155,135.0,0,CD69-
2188,608.8526572,80.31796463,251.9158634,2063.285282,287.1103732,89.1874098,80.01050783,2014.29339,1.023880277,207.0,0,CD69-
3352,597.6153347,81.39724344,259.4147388,2073.571232,352.5997717,87.94255698,112.2532292,2097.587713,1.036706771,175.0,0,CD69-
6387,1192.444263,63.0403408,427.0350199,2532.290249,1081.930197,68.81645423,334.572796,2777.742139,1.024558466,201.0,0,CD69-
3731,622.136795,81.7906332,232.2012331,2388.713502,280.3726843,90.49686178,96.13815777,2284.310865,0.976485912,222.0,0,CD69-
5332,933.8668249,68.21738367,340.9836327,2244.102755,475.9789339,85.08701531,178.4040367,2180.051633,1.051150878,98.0,1,CD69+
6801,1234.459278,55.63496667,301.1379097,2407.217778,741.8742961,75.10002222,179.3057222,2436.796736,0.738119311,144.0,0,CD69-
6990,938.4858383,70.60179189,448.5183243,2123.127027,579.7487575,78.14470541,197.114873,1945.651081,1.151081166,37.0,1,CD69+
2200,664.2465799,78.62924852,276.0634624,2103.979936,284.5959181,88.75107254,63.27837541,2040.081602,1.043598382,208.0,0,CD69-
4115,656.7799247,82.38294547,283.3225664,2417.677107,174.7531297,94.58593241,55.32475535,2261.123345,0.933730783,58.0,1,CD69+
7145,1287.313318,54.02262083,353.1934583,2387.273333,1062.390843,72.38823333,363.1512917,2942.585417,1.176108336,24.0,0,CD69-
2355,654.6466145,78.11878967,259.1984662,2070.449392,363.4137446,88.36306636,125.2035993,2181.551626,1.071021324,191.0,0,CD69-
6381,1222.993409,66.22878024,451.2323636,2782.472885,1059.700536,66.75669289,315.7907668,2584.485534,1.04528834,253.0,0,CD69-
7035,748.6577442,80.286024,418.788,2108.8232,463.9875303,82.318232,182.5546,1785.2036,1.00987284,25.0,1,CD69+
2578,530.464032,80.79735069,231.0225498,1818.494019,216.0738967,93.04568688,54.87055785,2377.257054,0.868994948,109.0,1,CD69+
